Designator,Mid X,Mid Y,Rotation,Layer
_461,409.938,-433.451,180.0,top
_460,131.971,-81.35235,0.0,top
_459,383.721325,-89.281,0.0,top
_458,181.464675,-85.16235,0.0,top
_457,321.781675,-306.451,180.0,top
_456,121.049,-85.16235,0.0,top
_455,132.02565,-190.627,0.0,top
_454,109.41965,-153.543,0.0,top
_453,258.463325,-409.4303,180.0,top
_452,447.911,-409.829,180.0,top
_451,209.459325,-165.80735,0.0,top
_450,194.963,-252.476,0.0,top
_449,250.970325,-409.8113,180.0,top
_448,132.02565,-170.434,0.0,top
_447,132.914675,-428.498,180.0,top
_446,83.203,-66.49335,0.0,top
_445,237.471675,-85.3617,0.0,top
_444,384.61035,-325.755,180.0,top
_443,41.257,-432.943,180.0,top
_442,209.277675,-97.5537,0.0,top
_441,335.007975,-169.85365,0.0,top
_440,116.495025,-341.57535,180.0,top
_439,399.143,-416.56,180.0,top
_438,162.578325,-153.416,0.0,top
_437,384.61035,-329.692,180.0,top
_436,335.860675,-232.664,180.0,top
_435,335.860675,-230.251,180.0,top
_434,165.1,-245.618,0.0,top
_433,305.308,-249.682,180.0,top
_432,21.13635,-314.52435,180.0,top
_431,423.436,-85.471,0.0,top
_430,360.534975,-176.96565,0.0,top
_429,320.475325,-81.46165,0.0,top
_428,399.08835,-342.84535,180.0,top
_427,384.61035,-337.312,180.0,top
_426,195.979025,-341.2667,180.0,top
_425,104.212675,-432.943,180.0,top
_424,321.527675,-348.996,180.0,top
_423,446.73165,-163.12265,0.0,top
_422,397.83665,-181.53765,0.0,top
_421,83.239325,-257.81,0.0,top
_420,194.926675,-88.97235,0.0,top
_419,239.503675,-341.68465,180.0,top
_418,244.837675,-62.2477,0.0,top
_417,412.115,-286.385,90.0,top
_416,433.342,-62.357,0.0,top
_415,286.276325,-433.25165,180.0,top
_414,209.695325,-406.1283,180.0,top
_413,320.475325,-91.62165,0.0,top
_412,431.49135,-342.08335,180.0,top
_411,209.404675,-78.2497,0.0,top
_410,424.071,-62.357,0.0,top
_409,53.576,-409.829,180.0,top
_408,83.25765,-169.545,0.0,top
_407,156.228,-268.986,0.0,top
_406,272.886675,-304.673,180.0,top
_405,335.897,-423.98065,180.0,top
_404,335.84235,-312.293,180.0,top
_403,165.118,-268.859,0.0,top
_402,368.22735,-318.643,180.0,top
_401,359.138,-410.13765,180.0,top
_400,335.84235,-322.453,180.0,top
_399,368.282,-410.13765,180.0,top
_398,171.685675,-85.16235,0.0,top
_397,84.092025,-332.17735,180.0,top
_396,283.808675,-318.643,180.0,top
_395,447.85635,-325.95435,180.0,top
_394,257.302,-273.177,0.0,top
_393,44.37735,-318.33435,180.0,top
_392,335.860675,-250.444,180.0,top
_391,346.782675,-226.441,180.0,top
_390,383.721325,-71.628,0.0,top
_389,399.08835,-332.68535,180.0,top
_388,244.602,-273.177,0.0,top
_387,83.203,-74.11335,0.0,top
_386,416.814,-62.23,0.0,top
_385,225.298,-224.917,0.0,top
_384,342.500975,-177.09265,0.0,top
_383,433.26965,-176.96565,0.0,top
_382,90.732325,-268.986,0.0,top
_381,431.546,-433.578,180.0,top
_380,290.612325,-62.03065,0.0,top
_379,21.13635,-342.33735,180.0,top
_378,225.824325,-153.61535,0.0,top
_377,153.688,-268.986,0.0,top
_376,309.734975,-153.6523,0.0,top
_375,296.127675,-318.643,180.0,top
_374,447.85635,-318.33435,180.0,top
_373,258.535675,-313.87165,180.0,top
_372,146.285675,-62.42935,0.0,top
_371,59.87135,-318.20735,180.0,top
_370,321.673,-237.49,180.0,top
_369,219.437675,-85.4887,0.0,top
_368,46.119,-61.849,0.0,top
_367,225.769675,-62.1207,0.0,top
_366,435.882,-62.357,0.0,top
_365,118.636,-62.04835,0.0,top
_364,356.54335,-318.643,180.0,top
_363,19.83,-97.155,0.0,top
_362,219.492325,-176.98335,0.0,top
_361,320.529975,-152.7633,0.0,top
_360,334.953325,-78.359,0.0,top
_359,84.092025,-324.55735,180.0,top
_358,21.191,-403.479,180.0,top
_357,55.44465,-153.34365,0.0,top
_356,419.844,-410.337,180.0,top
_355,363.020325,-85.471,0.0,top
_354,93.29065,-176.784,0.0,top
